Month,all sectors customers,residential customers,commercial customers,industrial customers
Aug 2021,158309498,138193853,19072039,1043525
Jul 2021,158163525,138061288,19070716,1031441
Jun 2021,158426301,138286278,19103469,1036474
May 2021,157443880,137458147,18977340,1008312
Apr 2021,157633045,137638878,18986177,1007908
Mar 2021,158482043,138462645,19008308,1011008
Feb 2021,155382316,135750167,18651022,981045
Jan 2021,156730734,136888601,18847509,994542
Dec 2020,157983206,137973904,18995400,1013820
Nov 2020,156588895,136773523,18836665,978625
Oct 2020,157214792,137301842,18919047,993821
Sep 2020,157002782,137124272,18867545,1010883
Aug 2020,156671400,136834443,18827402,1009473
Jul 2020,157378584,137441000,18916992,1020510
Jun 2020,156609393,136740348,18861854,1007108
May 2020,155927477,136178906,18763333,985155
Apr 2020,156156148,136344191,18827108,984766
Mar 2020,156217198,136372119,18871191,973805
Feb 2020,154862354,135215196,18691075,956000
Jan 2020,155662807,135882652,18806506,973566
Dec 2019,156056308,136250376,18836882,968966
Nov 2019,154991091,135340521,18705003,945483
Oct 2019,156053737,136260010,18821137,972507
Sep 2019,154957895,135291081,18691319,975412
Aug 2019,155347250,135635335,18728398,983435
Jul 2019,155192181,135468046,18735687,988365
Jun 2019,154672832,135074042,18637617,961090
May 2019,155068891,135405612,18708360,954838
Apr 2019,154494404,134920415,18640407,933498
Mar 2019,154726239,135170833,18635772,919551
Feb 2019,152787704,133333741,18539519,914361
Jan 2019,154427955,134845133,18650138,932601
Dec 2018,154042768,134524109,18682871,835705
Nov 2018,153615613,134155451,18636211,823868
Oct 2018,153939997,134377594,18717481,844839
Sep 2018,153229355,133791062,18594023,844187
Aug 2018,153986854,134433813,18686099,866859
Jul 2018,153368107,133883159,18623955,860910
Jun 2018,153409508,133935311,18615355,858759
May 2018,153586344,134121801,18613438,851023
Apr 2018,152768473,133417773,18526543,824075
Mar 2018,153249906,133852602,18574947,822275
Feb 2018,152176208,132923513,18440673,811940
Jan 2018,152693328,133302446,18552003,838797
Dec 2017,152578237,133321574,18423574,833004
Nov 2017,152355367,133093866,18430836,830580
Oct 2017,152408072,133126174,18435264,846549
Sep 2017,151661554,132461398,18354295,845776
Aug 2017,152318190,133013535,18437269,867301
Jul 2017,151550213,132345053,18354033,851042
Jun 2017,152126314,132866506,18402963,856760
May 2017,151783130,132559481,18375746,847817
Apr 2017,150949126,131902166,18225046,821828
Mar 2017,152072684,132851616,18384031,836953
Feb 2017,150454520,131437253,18199541,817642
Jan 2017,151095211,131977307,18289356,828464
Dec 2016,150936431,131859453,18244491,832403
Nov 2016,150333758,131325418,18183746,824510
Oct 2016,150360762,131318899,18203386,838393
Sep 2016,150428971,131374997,18207555,846336
Aug 2016,150433452,131346501,18227261,859607
Jul 2016,150065126,131086905,18130289,847849
Jun 2016,150311307,131282771,18174804,853646
May 2016,149976222,131002108,18133949,840080
Apr 2016,149340126,130452160,18064005,823879
Mar 2016,150354947,131333340,18185531,835990
Feb 2016,148962775,130114828,18022657,825209
Jan 2016,149158414,130327243,18001806,829287
Dec 2015,149835121,130854255,18142822,837966
Nov 2015,148543795,129722466,17995604,825647
Oct 2015,149215899,130277004,18087524,851293
Sep 2015,148915286,130004031,18059742,851435
Aug 2015,148559532,129696710,18013711,849033
Jul 2015,149282187,130322224,18099332,860552
Jun 2015,148728050,129833960,18042403,851608
May 2015,148054757,129550528,17675632,828518
Apr 2015,148387164,129607349,17955904,823833
Mar 2015,148656946,129858190,17975571,823107
Feb 2015,147499498,128836192,17854428,808801
Jan 2015,147916025,129177100,17924312,814536
Dec 2014,148488351,129655750,17988765,843760
Nov 2014,147293074,128640689,17827317,824992
Oct 2014,148376677,129521707,17993992,860902
Sep 2014,147567033,128788358,17922008,856589
Aug 2014,147670538,128924140,17889944,856377
Jul 2014,147859432,129055781,17937858,865715
Jun 2014,147211584,128562601,17810020,838886
May 2014,147103136,128428131,17834341,840580
Apr 2014,146972211,128347095,17795240,829796
Mar 2014,147011470,128398293,17795435,817663
Feb 2014,146266104,127760935,17694926,810164
Jan 2014,146660730,128080045,17756185,824418
Dec 2013,147186983,128622650,17738970,825278
Nov 2013,145982465,127563046,17603224,816115
Oct 2013,147199915,128616444,17739281,844120
Sep 2013,146120983,127680228,17603069,837614
Aug 2013,146692952,128138737,17697816,856327
Jul 2013,146522554,127940694,17727832,853955
Jun 2013,146130251,127665705,17623026,841448
May 2013,146568836,128031040,17701109,836614
Apr 2013,145639969,126863523,17950153,826221
Mar 2013,146156589,127694574,17647058,814884
Feb 2013,145245699,126911590,17526676,807361
Jan 2013,146011377,127595060,17595375,820869
Dec 2012,145278087,126747576,17788403,742028
Nov 2012,145326769,126862992,17722313,741383
Oct 2012,145683234,127148704,17798407,736043
Sep 2012,144876858,126453450,17684165,739162
Aug 2012,146085918,127521015,17831822,733000
Jul 2012,145225134,126749730,17727045,748278
Jun 2012,145441312,126998376,17700715,742139
May 2012,146116653,127543688,17833328,739556
Apr 2012,145094960,126680967,17689298,724611
Mar 2012,145331057,126890820,17720807,719346
Feb 2012,144463591,126147190,17613157,703152
Jan 2012,144599424,126242521,17637378,719433
Dec 2011,145024799,126593788,17695148,735774
Nov 2011,144644581,126251331,17653512,739648
Oct 2011,144516255,126127824,17638704,749637
Sep 2011,144832378,126386997,17687829,757463
Aug 2011,145243220,126732832,17748622,761674
Jul 2011,144557120,126153422,17645184,758421
Jun 2011,144811126,126411464,17684700,714869
May 2011,144382247,126064856,17612428,704871
Apr 2011,144058824,125795504,17566829,696394
Mar 2011,144957102,126538410,17682989,735610
Feb 2011,143511686,125324801,17497503,689287
Jan 2011,143568441,125335632,17541692,691024
Dec 2010,144893559,126403956,17764826,724536
Nov 2010,144232350,125845114,17669249,717756
Oct 2010,144494350,126056303,17706939,730877
Sep 2010,144532490,126015980,17713203,803075
Aug 2010,144509086,125990509,17710653,807688
Jul 2010,144563790,126011081,17741672,810800
Jun 2010,144138745,125728387,17670404,739717
May 2010,143683686,125349845,17610528,723075
Apr 2010,144139020,125730839,17689371,718573
Mar 2010,144193891,125732549,17684381,776722
Feb 2010,143096373,124842128,17545240,708767
Jan 2010,143201001,124906507,17583534,710700
Dec 2009,144292287,125890006,17683477,718092
Nov 2009,143252943,124998344,17536081,717806
Oct 2009,143889070,125502921,17653521,731920
Sep 2009,143473810,125135312,17547505,790286
Aug 2009,143539696,125197488,17547055,794447
Jul 2009,143859563,125460675,17603850,794335
Jun 2009,143769664,125376280,17600995,791686
May 2009,143070924,124841560,17496203,732457
Apr 2009,143685837,125347278,17584748,753109
Mar 2009,143532486,125186985,17547141,797660
Feb 2009,142891027,124706213,17456977,727141
Jan 2009,143092208,124862256,17488241,741026
Dec 2008,144144391,125705084,17702401,736158
Nov 2008,142802011,124567523,17489157,744598
Oct 2008,143866544,125459531,17648493,757762
Sep 2008,143531265,125080299,17626884,823339
Aug 2008,143658867,125219747,17610993,827386
Jul 2008,143629292,125161249,17640732,826573
Jun 2008,143404043,125006630,17631160,765535
May 2008,143167043,124847257,17561292,757785
Apr 2008,143118223,124835939,17530143,751426
Mar 2008,143198070,124880315,17509854,807188
Feb 2008,142816242,124603700,17465070,746771
Jan 2008,143412299,125087168,17571147,753288
