Month,all sectors million $,residential million $,commercial million $,industrial million $
Aug 2021,44257.80406,22126.12969,15182.87996,6891.60179
Jul 2021,43030.50736,21526.22918,14713.98725,6734.85002
Jun 2021,38113.88027,18379.21851,13474.92629,6207.38344
May 2021,30785.73972,13915.98681,11316.0076,5505.92125
Apr 2021,29160.72934,12966.0778,10806.25834,5337.71025
Mar 2021,32018.6441,15232.16783,11379.37626,5353.91434
Feb 2021,34690.74579,16951.64345,11713.36266,5970.75359
Jan 2021,33237.37131,17414.0206,10738.64266,5030.45181
Dec 2020,32713.48591,16578.22282,10976.23021,5097.74132
Nov 2020,28765.94053,13268.68352,10309.79952,5135.26138
Oct 2020,31623.1735,14409.1027,11626.20698,5536.24217
Sep 2020,35445.29595,17246.81339,12473.14814,5669.96227
Aug 2020,40647.72485,21077.36574,13411.87399,6104.75615
Jul 2020,41978.60047,22067.18302,13784.70787,6069.61624
Jun 2020,34824.22074,17388.98634,11938.04752,5446.52446
May 2020,28553.73842,13841.02937,9811.52505,4858.96527
Apr 2020,27119.48146,12942.55023,9479.50149,4654.23513
Mar 2020,29589.01545,13595.60185,10762.98253,5172.54244
Feb 2020,30122.65423,14371.34984,10614.66602,5078.11621
Jan 2020,32256.08924,15876.31871,11183.5826,5131.59312
Dec 2019,31674.48931,15354.43935,11146.48795,5112.23357
Nov 2019,29629.47328,13346.14735,10874.3609,5350.48388
Oct 2019,32039.45567,13836.60486,12380.43856,5769.65594
Sep 2019,36847.12675,17316.72095,13379.24718,6085.01039
Aug 2019,41164.38383,19955.34606,14406.5893,6739.44725
Jul 2019,41354.2974,20381.88227,14432.99966,6476.3728
Jun 2019,34526.16689,16004.91759,12617.67493,5842.67477
May 2019,30805.48324,13355.93792,11724.94301,5667.05147
Apr 2019,28049.92488,11976.45347,10776.63426,5239.15371
Mar 2019,31212.17898,14457.02591,11238.08535,5453.58707
Feb 2019,30775.18152,14831.06029,10761.04888,5115.79191
Jan 2019,33659.98217,16619.50058,11541.25321,5433.42913
Dec 2018,31882.75929,15311.21398,11154.82236,5353.12715
Nov 2018,30074.31726,13388.51217,11068.89549,5557.20494
Oct 2018,32181.9615,13751.1149,12505.53842,5863.53443
Sep 2018,35962.47421,16775.12377,13085.06044,6037.95221
Aug 2018,41962.62044,20351.23268,14873.68354,6673.092
Jul 2018,41225.55739,20156.14645,14465.54255,6540.08419
Jun 2018,36344.46381,16921.93394,13222.53775,6136.31288
May 2018,31388.43817,13625.02316,11889.50985,5818.82152
Apr 2018,28347.26563,12290.28273,10805.98316,5194.23322
Mar 2018,30701.01267,13904.75849,11364.79037,5373.20482
Feb 2018,30489.85003,14364.19128,10936.06007,5127.57423
Jan 2018,35859.45912,18193.43532,12052.74645,5543.29006
Dec 2017,31739.19812,15188.61636,11239.15775,5249.38381
Nov 2017,29139.49061,12721.41788,11016.27398,5345.02547
Oct 2017,31157.49252,13163.91864,12208.21973,5725.40722
Sep 2017,34929.6597,15771.70205,13104.43117,5991.75053
Aug 2017,39320.30731,18679.04531,14141.46965,6435.40266
Jul 2017,40269.21959,19605.90307,14183.58407,6415.97544
Jun 2017,35585.34507,16170.64301,13209.45238,6141.35125
May 2017,30176.36638,12843.17556,11637.83313,5639.34014
Apr 2017,27469.75265,11535.96739,10668.7733,5209.31758
Mar 2017,29965.16556,13289.04536,11207.74512,5407.17975
Feb 2017,28354.18874,12910.7678,10442.49181,4940.59851
Jan 2017,32216.07886,15780.96542,11182.50814,5189.96914
Dec 2016,31339.46403,14830.20436,11205.72977,5241.5599
Nov 2016,28006.65725,11886.34579,10840.42566,5225.31998
Oct 2016,30111.49888,12647.91154,11913.76001,5490.89391
Sep 2016,35960.55551,16651.69338,13298.22187,5946.9518
Aug 2016,41191.00099,20156.70583,14530.45414,6440.43492
Jul 2016,39823.35711,19574.57513,13891.05204,6293.97508
Jun 2016,34709.92651,15941.50554,12827.78213,5879.09532
May 2016,28643.19191,12048.36808,11184.21358,5356.64627
Apr 2016,26486.03319,10966.74114,10397.86154,5064.69906
Mar 2016,28587.26369,12592.72069,10814.79173,5121.52117
Feb 2016,29669.89181,14075.92464,10604.96356,4926.91069
Jan 2016,31980.20263,15704.04214,11133.24554,5080.06678
Dec 2015,29687.65957,13759.17434,10825.19342,5042.50708
Nov 2015,27740.18613,11775.45104,10721.92433,5184.68281
Oct 2015,30523.78202,12632.53694,12100.25388,5727.96536
Sep 2015,35937.16638,16346.95842,13419.55417,6107.3346
Aug 2015,39280.02152,18658.71147,14064.73107,6493.23553
Jul 2015,39737.70927,18903.90526,14228.91704,6537.85546
Jun 2015,34725.02778,15537.26659,12992.45992,6133.43423
May 2015,29405.37047,12300.26196,11456.49039,5588.54331
Apr 2015,27565.6217,11379.47055,10802.72161,5322.96199
Mar 2015,31419.31155,14449.84644,11459.79985,5440.87624
Feb 2015,31768.12413,15214.66933,11203.43958,5276.62933
Jan 2015,33551.48717,16665.36988,11505.96752,5309.85677
Dec 2014,31336.0694,14706.53609,11191.74019,5372.12809
Nov 2014,28919.65864,12417.48946,10967.31524,5469.8756
Oct 2014,30663.36809,12352.41797,12239.4397,6007.32235
Sep 2014,35406.24077,15638.79842,13399.36402,6298.88242
Aug 2014,38396.16127,17708.10261,13875.77076,6747.96538
Jul 2014,38766.98241,17942.65199,14013.81494,6741.67743
